HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20070317.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
10.5 54.5 2.81596
10.5 55.5 2.26071
10.5 57.5 -0.082258
10.5 59.5 3.4452
10.5 60.5 7.013853
10.5 61.5 10.372152
10.5 62.5 16.360728
10.5 63.5 16.505892
10.5 64.5 7.312988
10.5 78.5 -0.016895
10.5 79.5 -0.01068
11.5 -19.5 -0.109968
11.5 -15.5 2.192705
11.5 -14.5 3.110855
11.5 -13.5 1.191204
11.5 -12.5 -0.00503
11.5 -5.5 1.315424
11.5 -4.5 1.48259
11.5 -3.5 3.390075
11.5 -2.5 3.008007
11.5 -0.5 -4.58541
11.5 1.5 -7.742592
11.5 2.5 -14.887236
11.5 3.5 -23.429756
11.5 4.5 -25.874718
11.5 5.5 -28.459728
11.5 6.5 -21.631806
11.5 7.5 -18.614944
11.5 8.5 -19.699911
11.5 9.5 -12.40425
11.5 10.5 -6.052336
11.5 11.5 -5.994625
11.5 12.5 -7.12404
11.5 13.5 -3.478136
11.5 14.5 -1.205865
11.5 15.5 -0.44622
11.5 16.5 -0.245955
11.5 31.5 1.578718
11.5 32.5 1.952256
11.5 35.5 3.250505
11.5 40.5 -0.035055
11.5 42.5 3.00295
11.5 43.5 4.828362
11.5 44.5 3.9412
11.5 45.5 4.43132
11.5 46.5 2.821311
11.5 47.5 4.31856
11.5 48.5 7.003825
11.5 49.5 8.294055
11.5 50.5 8.670391
11.5 51.5 8.219048
11.5 52.5 7.815104
11.5 53.5 6.276312
11.5 55.5 1.32129
11.5 58.5 2.545886
11.5 59.5 3.947346
11.5 60.5 5.8824
11.5 61.5 8.966562
11.5 62.5 13.391395
11.5 63.5 19.73169
11.5 64.5 18.420598
11.5 65.5 1.841567
11.5 78.5 -0.03694
11.5 79.5 -0.107772
11.5 80.5 -0.00828
12.5 -70.5 32767
12.5 -19.5 -0.62968
12.5 -17.5 2.498832
12.5 -16.5 4.116585
12.5 -15.5 12.587657
12.5 -14.5 17.588947
12.5 -13.5 6.549186
12.5 -12.5 -0.018669
12.5 -6.5 4.237464
12.5 -5.5 6.997066
12.5 -4.5 5.316828
12.5 -3.5 5.02608
12.5 -2.5 2.836108
12.5 -0.5 -6.6528
