HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20111102.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_start=2011 10 17
HDR time_end=2011 11 16
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
6.5 11.5 14.06691
6.5 12.5 10.154079
6.5 13.5 4.406869
6.5 14.5 2.684016
6.5 15.5 1.631784
6.5 17.5 -0.349934
6.5 18.5 -0.337236
6.5 19.5 -0.889548
6.5 20.5 -0.864357
6.5 21.5 -1.313614
6.5 22.5 -0.90384
6.5 23.5 -1.024524
6.5 24.5 -0.866184
6.5 25.5 -0.28741
6.5 26.5 -0.50085
6.5 27.5 -0.80752
6.5 28.5 -0.689823
6.5 29.5 -0.793317
6.5 30.5 -0.631385
6.5 31.5 -0.55176
6.5 32.5 -0.751968
6.5 33.5 -1.013012
6.5 34.5 -0.999512
6.5 35.5 -2.628677
6.5 36.5 -2.307144
6.5 42.5 -1.11202
6.5 43.5 -3.69576
6.5 44.5 -8.523528
6.5 45.5 -10.801968
6.5 46.5 -8.420646
6.5 47.5 -8.462997
6.5 48.5 -8.21583
6.5 49.5 -7.267932
6.5 50.5 -5.635696
6.5 51.5 -4.585856
6.5 52.5 -1.837367
6.5 57.5 -0.04199
6.5 58.5 19.260642
6.5 59.5 30.050328
6.5 60.5 27.221832
6.5 61.5 25.793964
6.5 62.5 7.966218
7.5 -70.5 32767
7.5 4.5 7.864416
7.5 5.5 26.295792
7.5 6.5 23.53169
7.5 7.5 33.43357
7.5 8.5 34.104034
7.5 9.5 21.303464
7.5 10.5 20.414016
7.5 11.5 14.73355
7.5 12.5 10.901944
7.5 13.5 4.4996
7.5 14.5 2.024838
7.5 15.5 2.332494
7.5 17.5 -0.26488
7.5 18.5 -0.53066
7.5 19.5 -0.826205
7.5 20.5 -0.45522
7.5 21.5 -0.573552
7.5 22.5 -0.666663
7.5 23.5 -0.600501
7.5 24.5 -0.527916
7.5 25.5 -0.330411
7.5 26.5 -0.464816
7.5 27.5 -0.524159
7.5 28.5 -0.638685
7.5 29.5 -0.65978
7.5 30.5 -0.639381
7.5 31.5 -0.49073
7.5 32.5 -0.921662
7.5 33.5 -1.250071
7.5 34.5 -1.522333
7.5 35.5 -3.54003
7.5 36.5 -2.948076
7.5 37.5 -0.011594
7.5 44.5 -5.47492
7.5 45.5 -10.065496
7.5 46.5 -10.858944
7.5 47.5 -8.490317
7.5 48.5 -7.857577
7.5 49.5 -7.757056
7.5 50.5 -7.116247
7.5 51.5 -3.636657
7.5 52.5 -1.636362
7.5 53.5 1.32354
7.5 57.5 -0.109848
7.5 58.5 16.681409
7.5 59.5 28.693104
7.5 60.5 25.968504
7.5 61.5 25.0258
7.5 62.5 20.114688
7.5 63.5 2.60013
8.5 -1.5 -0.030316
8.5 4.5 7.332741
8.5 5.5 22.486176
8.5 6.5 26.646848
8.5 7.5 28.810968
8.5 8.5 26.940558
8.5 9.5 19.587246
8.5 10.5 18.289165
8.5 11.5 14.076564
8.5 12.5 10.918728
8.5 13.5 4.454403
8.5 14.5 2.594226
8.5 15.5 2.4582
8.5 17.5 -0.502904
8.5 18.5 -0.31519
8.5 19.5 -0.224757
8.5 20.5 -0.319302
8.5 21.5 -0.690364
8.5 22.5 -0.680342
8.5 23.5 -0.62453
8.5 24.5 -0.599449
8.5 25.5 -0.461052
8.5 26.5 -0.43836
8.5 27.5 -0.62656
8.5 28.5 -0.938733
8.5 29.5 -1.072008
8.5 30.5 -1.077783
8.5 31.5 -0.79248
8.5 32.5 -0.861574
8.5 33.5 -1.458639
8.5 34.5 -1.729884
8.5 35.5 -4.490346
8.5 36.5 -5.093088
8.5 37.5 -0.020732
8.5 39.5 1.869254
8.5 40.5 -0.41454
8.5 41.5 -1.770816
8.5 44.5 -6.161562
8.5 45.5 -8.950815
8.5 46.5 -10.475244
8.5 47.5 -8.282872
8.5 48.5 -5.107995
8.5 49.5 -7.079262
8.5 50.5 -5.50275
8.5 51.5 -3.126247
8.5 52.5 -0.888316
8.5 53.5 1.6601
8.5 54.5 1.665218
8.5 55.5 5.013924
8.5 56.5 6.42996
8.5 57.5 1.608158
8.5 58.5 6.601608
8.5 59.5 11.574528
8.5 60.5 12.380082
8.5 61.5 13.464896
8.5 62.5 14.762132
8.5 63.5 1.94016
8.5 64.5 -0.003938
9.5 -2.5 -0.551765
9.5 -1.5 -0.685314
9.5 1.5 1.272579
9.5 2.5 3.656496
9.5 3.5 8.668684
9.5 4.5 17.113728
9.5 5.5 21.30223
9.5 6.5 25.1381
9.5 7.5 25.802068
9.5 8.5 24.613745
9.5 9.5 18.65457
9.5 10.5 14.400688
9.5 11.5 12.575082
9.5 12.5 10.628016
9.5 13.5 4.96062
9.5 14.5 2.57868
9.5 15.5 1.832412
9.5 17.5 -0.179862
9.5 18.5 -0.187174
9.5 19.5 -0.22517
9.5 20.5 -0.18745
9.5 21.5 -0.362966
9.5 22.5 -0.457749
9.5 23.5 -0.49617
9.5 24.5 -0.539334
9.5 25.5 -0.487599
9.5 26.5 -0.485001
9.5 27.5 -0.740339
9.5 28.5 -1.079638
9.5 29.5 -1.580355
9.5 30.5 -1.780376
9.5 31.5 -1.475172
9.5 32.5 -0.995697
9.5 33.5 -1.640214
9.5 34.5 -1.94564
9.5 35.5 -4.228308
9.5 36.5 -5.40155
9.5 39.5 1.438904
9.5 40.5 -1.736019
9.5 41.5 -2.37867
9.5 43.5 -1.806462
9.5 44.5 -7.301932
9.5 45.5 -8.138637
9.5 46.5 -10.1763
9.5 47.5 -7.681828
9.5 48.5 -4.948877
9.5 49.5 -6.69732
9.5 50.5 -4.92002
9.5 51.5 -2.708719
9.5 52.5 -0.195776
9.5 53.5 2.5275
9.5 54.5 3.534912
9.5 55.5 5.121834
9.5 56.5 4.983677
9.5 58.5 1.642039
9.5 59.5 4.287808
9.5 60.5 6.34437
9.5 61.5 7.80983
9.5 62.5 11.21328
9.5 63.5 6.206109
10.5 -18.5 -0.02206
10.5 -17.5 -0.021224
10.5 -16.5 -0.013791
10.5 -15.5 -0.007062
10.5 -5.5 -0.0273
10.5 -4.5 -0.126375
10.5 -3.5 -0.697272
10.5 -2.5 -1.682352
10.5 -1.5 -1.462032
10.5 1.5 2.9155
10.5 2.5 8.477766
10.5 3.5 17.128215
10.5 4.5 25.392012
10.5 5.5 25.832471
10.5 6.5 24.34416
10.5 7.5 23.507484
10.5 8.5 24.170758
10.5 9.5 17.08967
10.5 10.5 10.117632
10.5 11.5 9.697344
10.5 12.5 9.823468
10.5 13.5 4.65933
10.5 14.5 1.859688
10.5 17.5 -0.053361
10.5 18.5 -0.149286
10.5 19.5 -0.194245
10.5 20.5 -0.13815
10.5 21.5 -0.15844
10.5 22.5 -0.305418
10.5 23.5 -0.385
10.5 24.5 -0.448875
10.5 25.5 -0.49321
10.5 26.5 -0.561105
10.5 27.5 -0.74636
10.5 28.5 -1.125696
10.5 29.5 -1.907889
10.5 30.5 -2.541394
10.5 31.5 -2.623995
10.5 32.5 -1.771512
10.5 33.5 -1.733905
10.5 34.5 -1.490802
10.5 35.5 -3.687996
10.5 36.5 -3.411005
10.5 38.5 -0.019383
10.5 39.5 -0.190959
10.5 40.5 -1.943298
10.5 41.5 -1.548222
10.5 42.5 -1.2832
10.5 43.5 -5.124834
10.5 44.5 -8.331567
10.5 45.5 -8.050784
10.5 46.5 -7.72668
10.5 47.5 -6.554698
10.5 48.5 -5.665107
10.5 49.5 -6.22686
10.5 50.5 -4.459125
10.5 51.5 -2.161415
10.5 53.5 3.368772
10.5 54.5 3.18442
10.5 55.5 3.82158
10.5 56.5 1.470651
10.5 57.5 -0.121968
10.5 59.5 2.71672
10.5 60.5 4.267572
10.5 61.5 5.442234
10.5 62.5 8.426464
10.5 63.5 9.018012
10.5 64.5 4.083374
10.5 78.5 -0.06103
10.5 79.5 -0.032721
11.5 -20.5 -0.0371
11.5 -19.5 1.847652
11.5 -18.5 3.18399
11.5 -17.5 3.921974
11.5 -16.5 2.648315
11.5 -15.5 3.765318
11.5 -14.5 2.38958
11.5 -12.5 -5.2e-05
11.5 -9.5 -0.01335
11.5 -8.5 -0.034073
11.5 -7.5 -0.030536
11.5 -6.5 -0.592176
11.5 -5.5 -0.891616
11.5 -4.5 -0.89355
11.5 -3.5 -2.160315
11.5 -2.5 -2.542693
11.5 -1.5 -1.6114
11.5 1.5 5.035392
11.5 2.5 11.850384
11.5 3.5 21.59917
11.5 4.5 26.552298
11.5 5.5 31.367952
11.5 6.5 24.794154
11.5 7.5 21.61921
11.5 8.5 22.806707
11.5 9.5 14.22798
11.5 10.5 6.879312
11.5 11.5 6.727875
11.5 12.5 7.74048
11.5 13.5 3.528852
11.5 14.5 1.09347
11.5 17.5 -0.041811
11.5 18.5 -0.112572
11.5 19.5 -0.10656
11.5 20.5 -0.150971
11.5 21.5 -0.133875
11.5 22.5 -0.241329
11.5 23.5 -0.318006
11.5 24.5 -0.3765
11.5 25.5 -0.423708
11.5 26.5 -0.48053
11.5 27.5 -0.566398
11.5 28.5 -0.97552
11.5 29.5 -1.875183
11.5 30.5 -3.142056
11.5 31.5 -4.223891
11.5 32.5 -3.864576
11.5 33.5 -0.921024
11.5 34.5 -0.412005
11.5 35.5 -3.219205
11.5 36.5 -0.239259
11.5 37.5 -0.004248
11.5 41.5 -0.026844
11.5 42.5 -4.026708
11.5 43.5 -8.296827
11.5 44.5 -7.60038
11.5 45.5 -8.187656
11.5 46.5 -4.404123
11.5 47.5 -5.31864
11.5 48.5 -6.5641
11.5 49.5 -5.658345
11.5 50.5 -3.842007
11.5 51.5 -1.524926
11.5 52.5 1.063656
11.5 53.5 3.648456
11.5 55.5 2.364966
11.5 57.5 1.18572
11.5 58.5 3.08524
11.5 59.5 3.400488
11.5 60.5 3.738288
11.5 61.5 4.579568
11.5 62.5 6.173395
11.5 63.5 8.965803
11.5 64.5 8.079098
11.5 78.5 -0.12222
11.5 79.5 -0.300748
11.5 80.5 -0.016602
12.5 -70.5 32767
12.5 -20.5 -0.157064
12.5 -19.5 8.36944
12.5 -18.5 15.244575
12.5 -17.5 19.95336
12.5 -16.5 14.35269
12.5 -15.5 21.010949
12.5 -14.5 13.242768
12.5 -13.5 1.55933
12.5 -10.5 -0.002847
12.5 -9.5 -0.086164
12.5 -8.5 -0.186931
12.5 -7.5 -0.164082
12.5 -6.5 -3.217368
