HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20021017.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_end=2002 10 31
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
14.5 -2.5 -2.095092
14.5 -1.5 -0.519142
14.5 -0.5 3.970956
14.5 1.5 11.147919
14.5 2.5 12.380148
14.5 3.5 13.316568
14.5 4.5 13.003375
14.5 5.5 14.084175
14.5 6.5 15.113
14.5 7.5 15.353184
14.5 8.5 14.096005
14.5 9.5 10.900379
14.5 10.5 11.456445
14.5 11.5 7.504859
14.5 12.5 4.318566
14.5 13.5 1.341695
14.5 16.5 -0.138009
14.5 17.5 -0.164475
14.5 18.5 -0.168438
14.5 19.5 -0.251775
14.5 20.5 -0.336045
14.5 21.5 -0.400468
14.5 22.5 -0.34671
14.5 23.5 -0.19074
14.5 24.5 -0.019995
14.5 26.5 -0.098974
14.5 27.5 -0.04635
14.5 30.5 1.318144
14.5 31.5 1.458947
14.5 32.5 3.303651
14.5 36.5 -0.227682
14.5 37.5 -1.050454
14.5 38.5 -0.2834
14.5 40.5 -1.7979
14.5 41.5 -3.045024
14.5 42.5 -0.995085
14.5 43.5 -0.0427
14.5 48.5 2.340742
14.5 49.5 2.649018
14.5 50.5 3.36952
14.5 51.5 2.919084
14.5 52.5 2.886102
14.5 53.5 1.18472
14.5 55.5 -0.598092
14.5 56.5 -3.008
14.5 57.5 -4.147176
14.5 58.5 -4.286096
14.5 59.5 -3.755704
14.5 60.5 -4.177331
14.5 61.5 -4.747554
14.5 62.5 -5.035902
14.5 63.5 -7.6384
14.5 64.5 -12.721599
14.5 65.5 -15.72525
14.5 66.5 -13.04224
14.5 68.5 -2.6e-05
14.5 77.5 84.523285
14.5 78.5 72.456592
14.5 79.5 4.751115
15.5 -70.5 32767
15.5 -21.5 -1.053113
15.5 -20.5 -2.090826
15.5 -19.5 -4.543584
15.5 -18.5 -7.753104
15.5 -17.5 -7.953442
15.5 -16.5 -12.69531
15.5 -15.5 -10.02105
15.5 -14.5 -17.1083
15.5 -13.5 -14.988057
15.5 -12.5 -9.1644
15.5 -11.5 -10.758858
15.5 -10.5 -14.515416
15.5 -9.5 -15.6332
15.5 -8.5 -13.02444
15.5 -7.5 -12.136419
15.5 -6.5 -10.615942
15.5 -5.5 -9.071608
15.5 -4.5 -14.538656
15.5 -3.5 -13.82374
15.5 -2.5 -4.9665
15.5 -0.5 4.11255
15.5 1.5 8.376104
15.5 2.5 9.5684
15.5 3.5 13.139408
15.5 4.5 12.34341
15.5 5.5 13.884
15.5 6.5 16.183024
15.5 7.5 15.872166
15.5 8.5 14.481984
15.5 9.5 12.966624
15.5 10.5 13.951665
15.5 11.5 8.752818
15.5 12.5 5.032872
15.5 13.5 1.679575
15.5 16.5 -0.046148
15.5 17.5 -0.07636
15.5 18.5 -0.12036
15.5 19.5 -0.159327
15.5 20.5 -0.251894
15.5 21.5 -0.38148
15.5 22.5 -0.264255
15.5 23.5 -0.064155
15.5 26.5 -0.066234
15.5 27.5 -0.04681
15.5 32.5 1.43576
15.5 36.5 -0.05474
15.5 37.5 -0.302464
15.5 38.5 -1.159088
15.5 39.5 -3.396504
15.5 40.5 -3.66126
15.5 41.5 -2.741703
15.5 42.5 -0.4879
15.5 43.5 -0.280815
15.5 44.5 -0.207756
15.5 48.5 1.77444
15.5 49.5 2.219712
15.5 50.5 2.783449
15.5 51.5 2.134221
15.5 52.5 1.764892
15.5 54.5 -0.004644
15.5 55.5 -0.58395
15.5 56.5 -2.979206
15.5 57.5 -4.95088
15.5 58.5 -5.782014
15.5 59.5 -5.38762
15.5 60.5 -5.15045
15.5 61.5 -5.141622
15.5 62.5 -5.421164
15.5 63.5 -6.891648
15.5 64.5 -9.263232
15.5 65.5 -12.01854
15.5 66.5 -13.453374
15.5 67.5 -5.248998
15.5 68.5 -1.690236
15.5 77.5 93.500258
15.5 78.5 23.096372
15.5 79.5 -0.466792
16.5 -24.5 1.149344
16.5 -23.5 1.04159
16.5 -21.5 -0.505
16.5 -20.5 -1.4238
16.5 -19.5 -4.33884
16.5 -18.5 -10.84634
16.5 -17.5 -8.50745
16.5 -16.5 -11.08384
16.5 -15.5 -8.22837
16.5 -14.5 -10.955526
16.5 -13.5 -11.501476
16.5 -12.5 -10.35819
16.5 -11.5 -13.185936
16.5 -10.5 -13.841744
16.5 -9.5 -13.844708
16.5 -8.5 -12.402418
16.5 -7.5 -12.25519
16.5 -6.5 -10.267632
16.5 -5.5 -7.428344
16.5 -4.5 -5.332398
16.5 -3.5 -18.92201
16.5 -2.5 -6.460146
16.5 -1.5 1.19808
16.5 -0.5 2.818878
16.5 1.5 9.027648
16.5 2.5 6.35136
16.5 3.5 11.576601
16.5 4.5 12.30267
16.5 5.5 13.33872
16.5 6.5 17.264442
16.5 7.5 18.278008
16.5 8.5 18.423393
16.5 9.5 16.957395
16.5 10.5 14.989806
16.5 11.5 10.381164
16.5 12.5 5.870865
16.5 13.5 1.87664
16.5 17.5 -0.01704
16.5 18.5 -0.064449
16.5 19.5 -0.11832
